,Preco,PrecoJusto,Licitantes,Irregular,Distancia,CustoFixo,Dias,Indice
108,193,228,5,0,7.3,38.076,60,0.8464912280701754
109,761,718,3,1,7.3,82.57,185,1.0598885793871866
110,512,559,1,1,7.5,191.737,180,0.9159212880143113
111,227,210,2,1,7.9,42.63,70,1.0809523809523809
112,292,246,2,1,8.0,14.022,45,1.1869918699186992
113,1078,879,4,1,8.0,218.87099999999998,190,1.2263936291240045
114,1208,1230,4,0,8.3,258.3,295,0.9821138211382113
115,151,174,3,0,8.8,10.614,110,0.867816091954023
116,225,223,2,1,8.9,15.833,60,1.0089686098654709
117,1379,1386,4,1,9.0,749.826,250,0.9949494949494949
118,496,879,7,0,9.8,123.939,140,0.5642775881683731
119,587,710,6,0,10.3,95.14,120,0.8267605633802817
120,890,757,2,1,10.7,79.485,145,1.1756935270805813
121,888,883,5,1,10.9,305.518,250,1.0056625141562854
122,740,810,4,0,11.2,247.86,175,0.9135802469135802
123,65,85,7,0,12.2,12.41,60,0.7647058823529411
124,2141,2152,3,0,12.8,578.888,400,0.9948884758364313
125,481,480,4,0,14.3,59.52,125,1.0020833333333334
126,431,360,2,1,14.8,60.12,70,1.1972222222222222
127,649,564,3,1,16.4,78.396,140,1.150709219858156
128,202,300,5,0,18.0,1.2,100,0.6733333333333333
129,830,715,4,1,18.0,140.855,135,1.1608391608391608
130,673,656,5,0,20.5,78.064,100,1.0259146341463414
131,924,887,7,0,22.1,70.96,130,1.0417136414881623
132,1565,1303,3,1,23.5,251.479,200,1.2010744435917113
